id,name,city,rating,rating_count,cost,cuisine,lic_no,link,address,menu
65394,Karnavati Snacks,"GOTA,Ahmedabad",3.4,20+ ratings,₹ 200,Snacks,license,https://www.swiggy.com/restaurants/karnavati-snacks-gota-ahmedabad-65394,"Karnavati Snacks, Shop no 8 Royal homes opp Satyamev vista gota",Menu/65394.json
511702,The Shake Maker,"GOTA,Ahmedabad",4.3,20+ ratings,₹ 200,Beverages,20722038001117,https://www.swiggy.com/restaurants/the-shake-maker-gota-ahmedabad-511702,"The Shake Maker, SHOP NO-15,BLOCK-D,GF,SHAYONA AAGMAN,OPP.SHAYONA TILAK,GOTA- JAGATPUT ROAD,AHMEDABAD, Gota(New West Zone), Ahmedabad Municipal Corporation, Ahmedabad, Gujarat - 382481",Menu/511702.json
492985,Mishaa'S Kitchen,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 200,"South Indian,Fast Food",20721037003976,https://www.swiggy.com/restaurants/mishaas-kitchen-gota-ahmedabad-492985,"Mishaa'S Kitchen, 28, dhartinagar, opp. chandkheda raily station, tragad road, Tragad , Ahmedabad City, Ahmedabad Municipal Corporation, Gujarat - 382424",Menu/492985.json
516996,Nayara Chinese Corner,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 250,"Chinese,Fast Food",20721009000467,https://www.swiggy.com/restaurants/nayara-chinese-corner-gota-ahmedabad-516996,"Nayara Chinese Corner, Near Adani shantigram S.G highway Khoraj Gandhinagar -382421",Menu/516996.json
461315,The Budget Food,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 300,"North Indian,Snacks",20721038001644,https://www.swiggy.com/restaurants/the-budget-food-gota-ahmedabad-461315,"The Budget Food, D-108, Vrindavan, Jagatpur Rd, New Chamunda Society, Godrej Garden City, Chandkheda, Ahmedabad, Gujarat 382470, India",Menu/461315.json
180338,Katori Kitchens,"GOTA,Ahmedabad",3.6,50+ ratings,₹ 250,"Snacks,Italian",10719026000901,https://www.swiggy.com/restaurants/katori-kitchens-chandlodia-malabar-county-2-ahmedabad-180338,"Katori Kitchens, B-15,Malabar County-2,B/h Nirma University,Tragad,Chandlodia,Ahmedabad",Menu/180338.json
545996,Best Foods & Tiffins,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 250,Indian,20722038002013,https://www.swiggy.com/restaurants/best-foods-and-tiffins-gota-ahmedabad-545996,"Best Foods & Tiffins, Vrindavan A-102,Godrej Garden City,Gota,Jagatpur,Ahmedabad-382470",Menu/545996.json
563229,Basic Kneads,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 250,Gujarati,license,https://www.swiggy.com/restaurants/basic-kneads-gota-ahmedabad-563229,"Basic Kneads, G307 Vrindhavan Cluster Godrej Garden City Jagatpur , Gota(New West Zone),  Ahmedabad, 382471",Menu/563229.json
349144,Blackone Cake Shop,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 200,Bakery,20720034000529,https://www.swiggy.com/restaurants/blackone-cake-shop-gota-ahmedabad-349144,"Blackone Cake Shop, 3 Shukan Apartment, Opp Vandematram City, New S. G. Road, Gota, 382481",Menu/349144.json
449558,Shreeji Gathiya Rath,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 250,"Snacks,Indian",20721034001737,https://www.swiggy.com/restaurants/shreeji-gathiya-rath-ranip-ahmedabad-449558,"Shreeji Gathiya Rath, GF/ SHOP NO / 21 ,AALOK RESIDENCY , OPP- BANK OF BARODA , ANAND PARTY PLOT ROAD , NEW RANIP",Menu/449558.json
